example_id                                                                   | status  | run_time        |
./spec/features/users/user_show_spec.rb[1:2]                                 | passed  | 0.0439 seconds  |
./spec/features/visitors/home_page_spec.rb[1:1]                              | passed  | 0.05335 seconds |
./spec/features/visitors/navigation_spec.rb[1:1]                             | passed  | 0.05117 seconds |
./spec/features/visitors/sign_up_spec.rb[1:1]                                | passed  | 0.17626 seconds |
./spec/features/visitors/sign_up_spec.rb[1:2]                                | passed  | 0.1969 seconds  |
./spec/features/visitors/sign_up_spec.rb[1:3]                                | passed  | 0.21448 seconds |
./spec/features/visitors/sign_up_spec.rb[1:4]                                | passed  | 0.12014 seconds |
./spec/features/visitors/sign_up_spec.rb[1:5]                                | passed  | 0.15243 seconds |
./spec/features/visitors/sign_up_spec.rb[1:6]                                | passed  | 0.11706 seconds |
./spec/jobs/send_sms_job_spec.rb[1:1:1]                                      | pending | 0.00001 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:1]                                  | passed  | 0.04233 seconds |
./spec/models/calendar_spec.rb[1:1]                                          | passed  | 0.00624 seconds |
./spec/models/calendar_spec.rb[1:2]                                          | passed  | 0.00399 seconds |
./spec/models/calendar_spec.rb[1:3]                                          | passed  | 0.00702 seconds |
./spec/models/calendar_spec.rb[1:4]                                          | passed  | 0.00811 seconds |
./spec/models/championship_spec.rb[1:1]                                      | passed  | 0.03792 seconds |
./spec/models/championship_spec.rb[1:2]                                      | passed  | 0.03271 seconds |
./spec/models/championship_spec.rb[1:3]                                      | passed  | 0.02793 seconds |
./spec/models/championship_spec.rb[1:4]                                      | passed  | 0.02808 seconds |
./spec/models/championship_spec.rb[1:5]                                      | passed  | 0.03067 seconds |
./spec/models/championship_spec.rb[1:6:1:1]                                  | passed  | 0.0559 seconds  |
./spec/models/championship_spec.rb[1:6:2:1]                                  | passed  | 0.05788 seconds |
./spec/models/championship_spec.rb[1:7:1:1]                                  | passed  | 0.04849 seconds |
./spec/models/championship_spec.rb[1:7:2:1]                                  | passed  | 0.05534 seconds |
./spec/models/club_admin_role_spec.rb[1:1]                                   | passed  | 0.01628 seconds |
./spec/models/club_admin_role_spec.rb[1:2]                                   | passed  | 0.00719 seconds |
./spec/models/club_admin_role_spec.rb[1:3]                                   | passed  | 0.01164 seconds |
./spec/models/club_spec.rb[1:1]                                              | passed  | 0.00847 seconds |
./spec/models/club_spec.rb[1:2]                                              | passed  | 0.00604 seconds |
./spec/models/club_spec.rb[1:3:1:1:1]                                        | passed  | 0.03185 seconds |
./spec/models/club_spec.rb[1:3:1:2:1]                                        | passed  | 0.03887 seconds |
./spec/models/club_spec.rb[1:3:2:1]                                          | passed  | 0.05794 seconds |
./spec/models/club_spec.rb[1:3:2:2]                                          | passed  | 0.03046 seconds |
./spec/models/day_spec.rb[1:1]                                               | passed  | 0.00559 seconds |
./spec/models/day_spec.rb[1:2]                                               | passed  | 0.0037 seconds  |
./spec/models/day_spec.rb[1:3]                                               | passed  | 0.00782 seconds |
./spec/models/day_spec.rb[1:4:1:1:1]                                         | passed  | 0.03798 seconds |
./spec/models/day_spec.rb[1:4:1:2:1]                                         | passed  | 0.03454 seconds |
./spec/models/day_spec.rb[1:4:2:1:1]                                         | passed  | 0.03679 seconds |
./spec/models/day_spec.rb[1:4:2:2:1]                                         | passed  | 0.03423 seconds |
./spec/models/day_spec.rb[1:5:1:1:1]                                         | passed  | 0.04012 seconds |
./spec/models/day_spec.rb[1:5:1:2:1]                                         | passed  | 0.04185 seconds |
./spec/models/day_spec.rb[1:5:2:1:1]                                         | passed  | 0.04037 seconds |
./spec/models/day_spec.rb[1:5:2:2:1]                                         | passed  | 0.03839 seconds |
./spec/models/duty_task_spec.rb[1:1]                                         | passed  | 0.00558 seconds |
./spec/models/duty_task_spec.rb[1:2]                                         | passed  | 0.00759 seconds |
./spec/models/duty_task_spec.rb[1:3]                                         | passed  | 0.00748 seconds |
./spec/models/enrolled_team_championship_spec.rb[1:1]                        | passed  | 0.00774 seconds |
./spec/models/enrolled_team_championship_spec.rb[1:2]                        | passed  | 0.00763 seconds |
